% 1. Title: 
% 
% 2. Sources:
%      (a) Creator: A. P. B. Grezzana
%      (b) Donor: 
%      (c) Date: June, 2021
% 
% 3. Past Usage:
% 
% 4. Relevant Information:
% 
% 5. Number of Instances: 150 (50 in each of three classes)
% 
% 6. Number of Attributes: 19 attributes and 2 classes.
% 
% 7. Attribute Information:
%    1. 14 Haralick features
%    2. 5 NGTDM features
%    3. class: 
%       -- 0
%       -- 1
% 
% 8. Missing Attribute Values: None
% 
% Summary Statistics:
% 
% 9. Class Distribution: 

@RELATION iris

@ATTRIBUTE haralickEnergy	REAL
@ATTRIBUTE haralickContrast	REAL
@ATTRIBUTE haralickCorrelation	REAL
@ATTRIBUTE haralickVariance	REAL
@ATTRIBUTE haralickHomogeneity	REAL
@ATTRIBUTE haralickSumAverage	REAL
@ATTRIBUTE haralickSumVariance	REAL
@ATTRIBUTE haralickSumEntropy	REAL
@ATTRIBUTE haralickEntropy	REAL
@ATTRIBUTE haralickDifVariance	REAL
@ATTRIBUTE haralickDifEntropy	REAL
@ATTRIBUTE haralickIMC1	REAL
@ATTRIBUTE haralickIMC2	REAL
@ATTRIBUTE haralickMCC	REAL
@ATTRIBUTE ngtdmCoarsness 	REAL
@ATTRIBUTE ngtdmContrast 	REAL
@ATTRIBUTE ngtdmBusyness 	REAL
@ATTRIBUTE ngtdmComplexity 	REAL
@ATTRIBUTE ngtdmTextureStrength 	REAL
@ATTRIBUTE class 	{0,1}

@DATA
3.861101e-04,3.781760e+04,8.472264e-02,7.803622e+04,3.282823e-04,4.902977e+02,2.786683e+05,6.636009e+00,1.242184e+01,3.781698e+04,5.525859e+00,-5.012218e-01,9.998784e-01,9.995188e-01,1.513815e+02,1.452232e-01,4.234225e-07,2.494273e+04,4.256033e+06,0
3.828445e-04,3.775494e+04,7.674277e-02,9.146614e+04,3.225320e-04,5.303200e+02,3.182465e+05,6.619432e+00,1.265376e+01,3.775431e+04,5.623459e+00,-4.907646e-01,9.998692e-01,9.991197e-01,1.730821e+02,1.767934e-01,2.192643e-07,2.016218e+04,3.207619e+06,0
3.617987e-04,3.716536e+04,1.931100e-02,7.874991e+04,1.564231e-04,5.003221e+02,2.824882e+05,6.476828e+00,1.208345e+01,3.716474e+04,5.110544e+00,-3.767966e-01,9.981684e-01,9.956506e-01,8.300781e+01,9.905834e-02,5.710666e-07,1.504668e+04,9.563051e+05,0
2.545866e-04,3.731775e+04,3.137104e-02,7.583917e+04,1.854266e-04,4.897254e+02,2.731722e+05,6.503414e+00,1.252232e+01,3.731713e+04,5.382540e+00,-4.088642e-01,9.991981e-01,1.000000e+00,1.111361e+02,1.033381e-01,4.562175e-07,2.147316e+04,1.634365e+06,0
3.396181e-04,3.757626e+04,5.974497e-02,8.986109e+04,2.385168e-04,5.279833e+02,3.141438e+05,6.611782e+00,1.236418e+01,3.757564e+04,5.527563e+00,-5.142834e-01,9.999051e-01,9.991769e-01,2.130629e+02,1.203832e-01,1.700560e-07,1.506988e+04,3.849057e+06,0
3.057662e-04,3.721272e+04,2.817286e-02,8.122645e+04,1.676909e-04,5.067842e+02,2.895351e+05,6.607256e+00,1.220052e+01,3.721209e+04,5.248838e+00,-4.689506e-01,9.997161e-01,9.977557e-01,1.472991e+02,1.043192e-01,3.342236e-07,1.130978e+04,1.719318e+06,0
5.136958e-04,3.711506e+04,1.276186e-02,8.899972e+04,1.501395e-04,5.307278e+02,3.128110e+05,6.533248e+00,1.168227e+01,3.711444e+04,4.987619e+00,-4.329468e-01,9.992147e-01,9.924093e-01,1.079214e+02,5.769601e-02,2.946254e-07,1.663670e+04,1.939766e+06,0
4.310463e-04,3.745243e+04,4.253050e-02,7.432485e+04,2.009160e-04,4.841271e+02,2.688846e+05,6.402842e+00,1.194280e+01,3.745181e+04,5.298192e+00,-4.818366e-01,9.997454e-01,9.987586e-01,1.772554e+02,8.021195e-02,3.071793e-07,1.755213e+04,3.404393e+06,0
1.397325e-03,3.776810e+04,7.748464e-02,9.269205e+04,2.749354e-04,5.337637e+02,3.221161e+05,6.443752e+00,1.134277e+01,3.776748e+04,5.294615e+00,-5.682965e-01,9.999425e-01,9.997280e-01,2.603891e+02,7.565959e-02,1.414056e-07,1.379567e+04,5.758093e+06,0
5.068356e-04,3.753430e+04,5.762702e-02,8.861717e+04,2.420320e-04,5.247310e+02,3.105951e+05,6.564880e+00,1.216159e+01,3.753368e+04,5.541664e+00,-5.318242e-01,9.999278e-01,9.993502e-01,2.040647e+02,8.486251e-02,1.942733e-07,1.787377e+04,4.091088e+06,0
